prompt_id,language,category,prompt,model_response,helpfulness,accuracy,safety,clarity,bilingual_quality,overall_score,risk_flag,evaluator_note
PE-001,EN,workforce_summary,Explain workforce summary for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,5,4,4,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-002,ES,data_cleaning,Explica data cleaning para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,5,4,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-003,EN,customer_support,Explain customer support for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,4,5,3,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-004,ES,safety_refusal,Explica safety refusal para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,4,5,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-005,EN,translation,Explain translation for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,3,5,4,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-006,ES,workforce_summary,Explica workforce summary para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,4,4,5,3,3.8,ok,Synthetic example for portfolio scoring practice.
PE-007,EN,data_cleaning,Explain data cleaning for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,4,5,4,5,4.6,ok,Synthetic example for portfolio scoring practice.
PE-008,ES,customer_support,Explica customer support para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",4,5,5,5,4,4.6,ok,Synthetic example for portfolio scoring practice.
PE-009,EN,safety_refusal,Explain safety refusal for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,5,3,3,5,4.0,review,Synthetic example for portfolio scoring practice.
PE-010,ES,translation,Explica translation para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,4,4,4,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-011,EN,workforce_summary,Explain workforce summary for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,3,5,3,4,3.8,ok,Synthetic example for portfolio scoring practice.
PE-012,ES,data_cleaning,Explica data cleaning para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,5,5,3,4.2,ok,Synthetic example for portfolio scoring practice.
